License Issue Date,License Number,Animal's Name,Species,Primary Breed,Secondary Breed,ZIP Code
June 09 2016,583172,Amelie,Dog,Border Collie,"Terrier, Pit Bull",98126
June 09 2016,583249,Gracie,Dog,German Shepherd,Mix,98126
June 09 2016,S116621,Isley,Dog,"Australian Shepherd, Miniature",,98101
June 09 2016,S116904,Pilot,Dog,"Collie, Rough",Australian Shepherd,98105
June 09 2016,S100894,Zoey,Dog,"Retriever, Labrador",Mix,98136
June 09 2016,S115963,Molly,Dog,Coonhound,Mix,98199
June 09 2016,212633,Bella B,Dog,"Terrier, Yorkshire","Poodle, Miniature",98117
June 10 2016,359125,Ladybug,Dog,Pug,,98117
June 10 2016,361357,Ginger,Dog,Carolina Dog,,
June 10 2016,S116675,Macie,Dog,German Shepherd,Mix,98117
June 10 2016,352967,Gracie,Dog,"Retriever, Labrador",Mix,98125
June 10 2016,S115390,Penny,Dog,"Dachshund, Miniature Long Haired",,98116
June 10 2016,S115970,Lucille,Dog,"Terrier, Jack Russell",Mix,98119
June 10 2016,S116485,Pookie,Dog,"Terrier, Jack Russell",,98103
June 10 2016,S116467,Riley,Dog,"Retriever, Labrador",Mix,98103
June 10 2016,S116466,Zara,Dog,Siberian Husky,,
June 11 2016,211705,Ida,Dog,American Eskimo,,98117
June 11 2016,347793,Grace,Dog,Chinese Shar-Pei,"Retriever, Labrador",98199
June 11 2016,356258,Joey,Dog,Bichon Frise,Lhasa Apso,98136
June 11 2016,359452,Darby,Dog,"Dachshund, Miniature Smooth Haired",,98116
June 11 2016,834916,Petunia,Dog,Beagle,,
June 11 2016,S116654,Hailey,Dog,Beagle,Mix,98199
June 11 2016,S116655,Sweetie,Dog,German Shepherd,Mix,98199
June 11 2016,S116661,Terra,Dog,"Retriever, Labrador",,98136
June 11 2016,S116683,Lieka,Dog,Siberian Husky,,98106
June 11 2016,S116686,Mishka,Dog,Karelian Bear Dog,,98109
June 11 2016,357030,Rosie,Dog,Basenji,"Chihuahua, Short Coat",98122
June 12 2016,359129,Sally,Dog,"Retriever, Labrador",Mix,98122
June 12 2016,S116667,Swayze,Dog,"Retriever, Labrador",Terrier,98107
June 12 2016,S116669,Sandy,Dog,"Retriever, Labrador",Mix,98107
June 12 2016,S115862,Daisy,Dog,American Eskimo,Mix,98117
June 12 2016,S115863,Hyleigh,Dog,"Schnauzer, Miniature",Mix,98144
June 12 2016,729574,Ginger,Dog,"Terrier, Soft Coated Wheaten",,98118
June 13 2016,283080,Kyndle,Dog,Bernese Mountain Dog,Shepherd,98106
June 13 2016,357676,Sally,Dog,"Retriever, Labrador",,98136
June 13 2016,357941,Polly,Dog,"Retriever, Labrador",German Shepherd,98199
June 13 2016,358191,Lucy,Dog,"Retriever, Labrador",,98118
June 13 2016,359143,Gypsy,Dog,Border Collie,,98106
June 13 2016,359201,Sydney,Dog,Australian Shepherd,"Welsh Corgi, Cardigan",98119
June 13 2016,S116609,Izzy,Dog,Australian Shepherd,American Blue Heeler,98125
June 13 2016,S116638,Halle,Dog,"Schnauzer, Standard",,98109
June 13 2016,S116641,Jasmine,Dog,Beagle,,98117
June 13 2016,S116648,Tula,Dog,Border Collie,,98116
June 13 2016,S116660,Sophie,Dog,"Dachshund, Miniature Long Haired","Chihuahua, Long Coat",98106
June 13 2016,S116662,Mocha,Dog,Pointer,,98118
June 13 2016,S116741,Rainy,Dog,Australian Cattle Dog,Pharaoh Hound,
June 13 2016,S115395,Reina,Dog,"Terrier, Rat",,98116
June 14 2016,S116703,Shiva,Dog,Siberian Husky,,98133
June 14 2016,S116719,Bandit,Dog,Pug,Beagle,
June 14 2016,S116749,Jenga,Dog,Border Collie,,98146
June 14 2016,S116750,Shay,Dog,German Shepherd,Chow Chow,98146
June 14 2016,S116962,Lily,Dog,"Chihuahua, Short Coat",Mix,98106
June 14 2016,S116502,Darla,Dog,English Mastiff,,
June 14 2016,S116501,Lucy,Dog,"Poodle, Standard",Bernese Mountain Dog,98107
June 14 2016,352990,Joy,Dog,"Terrier, Rat",,98125
June 14 2016,S127109,Sully,Dog,"Retriever, Labrador",Australian Shepherd,98115
June 15 2016,274683,Rubee,Dog,"Retriever, Labrador",Mix,98106
June 15 2016,356668,Mattie,Dog,Bernese Mountain Dog,"Retriever, Golden",98133
June 15 2016,359312,Ebi,Dog,"Welsh Corgi, Cardigan",German Shepherd,98178
June 15 2016,360506,Gypsy,Dog,"Terrier, American Staffordshire",,98125
June 15 2016,S108401,Emi Collins,Dog,"Retriever, Golden",,98126
June 15 2016,S116708,Molly,Dog,"Retriever, Labrador","Retriever, Golden",98102
June 15 2016,834728,Winter,Dog,Bernese Mountain Dog,,98106
June 16 2016,S116717,Bibi,Dog,"Dachshund, Standard Smooth Haired","Terrier, Fox, Smooth",98119
June 16 2016,S112137,Bella,Dog,German Shepherd,Mix,98107
June 16 2016,S112138,Reina,Dog,Dalmatian,"Terrier, Pit Bull",98107
June 16 2016,141195,Moclips,Dog,Shepherd,Mix,98117
June 16 2016,S116497,Zoe,Dog,Basenji,Mix,98116
June 16 2016,S116070,Maia,Dog,Shepherd,Mix,98136
June 17 2016,29452,Selene,Dog,Alaskan Malamute,,98105
June 17 2016,283798,Mollie,Dog,Norwegian Elkhound,Mix,98117
June 17 2016,360470,Pickles,Dog,"Bulldog, French",,98136
June 17 2016,S108644,Lola,Dog,Maltese,Shih Tzu,98106
June 17 2016,S116806,Luna,Dog,Australian Shepherd,,98133
June 17 2016,S116079,Baby,Dog,"Chihuahua, Short Coat",Mix,
June 17 2016,356048,Freya,Dog,Belgian Sheepdog,,98117
June 17 2016,S112139,Bessie,Dog,"Retriever, Labrador",Mix,98107
June 18 2016,S116848,Bella,Dog,Retriever,Hound,98112
June 18 2016,356473,Princess,Dog,"Chihuahua, Short Coat",,98168
June 18 2016,S116963,,Dog,"Retriever, Labrador","Poodle, Standard",98109
June 18 2016,142647,Winnie,Dog,"Welsh Corgi, Cardigan",Shepherd,98144
June 18 2016,S116088,Niu niu,Dog,American Eskimo,Mix,98199
June 19 2016,S116886,Lilly,Dog,Retriever,"Vizsla, Smooth Haired",98103
June 20 2016,216348,Lucy,Dog,German Shepherd,Mix,98133
June 20 2016,281817,Darby,Dog,Doberman Pinscher,,98115
June 20 2016,354265,Nina,Dog,"Terrier, Jack Russell",,98144
June 20 2016,356890,Molly,Dog,Australian Cattle Dog,"Retriever, Labrador",98107
June 20 2016,S116836,Lucy,Dog,Shih Tzu,,98122
June 20 2016,S116849,Kodi,Dog,Samoyed,,98105
June 20 2016,S116884,Maddie,Dog,"Terrier, Airedale",,98118
June 20 2016,S116902,Ally,Dog,Pug,,98108
June 20 2016,S116903,Mia,Dog,Border Collie,German Shepherd,98126
June 20 2016,S116914,Sasha,Dog,Brittany,,98115
June 20 2016,S116945,Muffin,Dog,"Schnauzer, Miniature",,98103
June 20 2016,S116285,Lovie,Dog,Pointer,Siberian Husky,98126
June 21 2016,359079,Chinook,Dog,"Retriever, Labrador",,98136
June 21 2016,S116956,Cleo,Dog,Terrier,"Schnauzer, Standard",98144
June 22 2016,359466,Oba,Dog,"Terrier, Staffordshire Bull",,98122
June 22 2016,S116517,Charlie Girl,Dog,"Dachshund, Miniature Smooth Haired",,98104
June 22 2016,S116516,Maya,Dog,Beagle,,98115
June 22 2016,S116513,Sweetie,Dog,"Retriever, Labrador",Mix,98117
June 22 2016,S116518,Fritz,Dog,"Terrier, Bull",Mix,98146
June 22 2016,359002,Cypress,Dog,Beagle,,98199
June 22 2016,279949,Maribell,Dog,"Chihuahua, Short Coat","Dachshund, Standard Smooth Haired",98117
June 23 2016,275486,Maisie,Dog,"Retriever, Labrador",,98103
June 23 2016,281568,Penelope,Dog,Border Collie,"Retriever, Labrador",
June 23 2016,S117019,Gracie,Dog,Havanese,,98112
June 23 2016,S117061,Oreo,Dog,"Retriever, Labrador",American Blue Heeler,98107
June 23 2016,S116519,Marlo,Dog,"Bulldog, French",,98107
June 23 2016,356255,Bo,Dog,"Poodle, Standard",,98105
June 23 2016,S115885,Toffee,Dog,Xoloitzcuintli,Mix,98103
June 23 2016,S116182,Bear Clauson,Dog,German Shepherd,,98177
June 23 2016,357726,Jelly,Dog,"Terrier, Boston",,98199
June 24 2016,358428,Kirby,Dog,Havanese,,98199
June 24 2016,731538,Laika,Dog,Havanese,,98199
June 24 2016,S108338,Cherry,Dog,"Chihuahua, Short Coat",,98106
June 24 2016,S117047,Thriller,Dog,"Terrier, Boston",,98103
June 24 2016,S117048,Boba,Dog,"Bulldog, French",,98125
June 24 2016,S117066,Molly,Dog,Spaniel,Retriever,98115
June 24 2016,S117131,Laila,Dog,Greyhound,,98121
June 24 2016,S117194,Tahnee,Dog,Chow Chow,,98106
June 24 2016,S116524,Rosa,Dog,"Chihuahua, Long Coat",,98125
June 24 2016,S100899,Snickers,Dog,Lhasa Apso,Mix,98116
June 24 2016,S116187,Bittie,Dog,"Poodle, Miniature",Mix,98115
June 24 2016,S116190,Fauna,Dog,Pomeranian,,98136
June 24 2016,S116191,Xena,Dog,Pointer,"Retriever, Labrador",98126
June 24 2016,S115889,Sophie,Dog,"Terrier, Boston",Mix,
June 24 2016,136629,Miss Piggy,Dog,"Terrier, American Pit Bull",,
June 25 2016,349478,Chloe,Dog,Pug,,98117
June 25 2016,S117111,Coconut,Dog,"Dachshund, Miniature Long Haired",,98133
June 25 2016,S117112,Leia,Dog,Beagle,,98133
June 25 2016,S117163,Cloe,Dog,Mix,"Terrier, Jack Russell",98118
June 25 2016,S101155,Annabel,Dog,Maltese,Mix,98144
June 26 2016,359302,Lucy,Dog,"Retriever, Labrador",Mix,98102
June 26 2016,S117106,Maple,Dog,Pomeranian,"Terrier, Boston",98122
June 26 2016,S117198,Madrona (Maddy),Dog,"Terrier, Jack Russell","Dachshund, Miniature Long Haired",98106
June 27 2016,354898,Penny,Dog,"Retriever, Labrador",Chinese Shar-Pei,98117
June 27 2016,358204,Zuzu,Dog,"Terrier, Cairn",,98105
June 27 2016,S116528,Panda,Dog,"Retriever, Labrador",,
June 27 2016,S126192,Blueberry,Dog,"Bulldog, French",,98117
June 28 2016,356163,Jette,Dog,"Retriever, Labrador",,98103
June 28 2016,138673,Lucy,Dog,"Retriever, Labrador",,
June 28 2016,S116531,Jasmine,Dog,"Terrier, Yorkshire",Mix,98146
June 28 2016,S116967,Majita,Dog,"Retriever, Labrador",Mix,98104
June 29 2016,S117132,Cassie,Dog,Border Collie,,98125
June 29 2016,S117147,Pinot,Dog,"Retriever, Golden",,98109
June 30 2016,357550,Sofie,Dog,"Chihuahua, Short Coat",Terrier,98133
June 30 2016,S117306,Lulu,Dog,"Poodle, Toy",Shih Tzu,98125
June 30 2016,S117312,Harley,Dog,"Retriever, Golden",,98117
June 30 2016,S117318,Nadia,Dog,German Shepherd,Alaskan Husky,98136
June 30 2016,S117322,Jessie,Dog,"Pointer, German Wirehaired",,98116
June 30 2016,S117331,Merry,Dog,"Retriever, Labrador",Whippet,98126
June 30 2016,S117333,Tanque,Dog,Great Dane,,
June 30 2016,S101854,Bundles Of Love,Dog,Shih Tzu,Pekingese,98108
June 30 2016,359412,Boue,Dog,Xoloitzcuintli,,
July 01 2016,442793,Morgan,Dog,"Spaniel, American Water",,98103
July 01 2016,443392,Brenda,Dog,Belgian Malinois,,98118
July 01 2016,S117509,Ruby,Dog,German Shepherd,,
July 01 2016,S117539,Reba,Dog,Pug,Beagle,98115
July 01 2016,S117547,Misha,Dog,Keeshond,,
July 01 2016,S117581,Dakota,Dog,Australian Shepherd,,
July 01 2016,82376,Mia,Dog,"Retriever, Golden","Poodle, Miniature",98118
July 01 2016,357649,Roxy,Dog,"Retriever, Golden",,98105
July 01 2016,359019,Chelsea,Dog,Australian Cattle Dog,Terrier,98107
July 01 2016,28364,Georgina,Dog,Terrier,Mix,98122
July 01 2016,358148,Hannah,Dog,"Coonhound, Redbone",,98118
July 01 2016,348894,,Dog,"Spaniel, American Cocker",,98144
July 01 2016,356238,Selena,Dog,Pekingese,,98108
July 01 2016,352962,Regan,Dog,Greyhound,,98105
July 01 2016,S116994,Copper,Dog,Xoloitzcuintli,Mix,98106
July 01 2016,S117314,Beatrix,Dog,"Terrier, Boston",,98126
July 02 2016,359303,Daphne,Dog,Rottweiler,"Retriever, Labrador",98121
July 02 2016,S117508,Daisy,Dog,Beagle,,98115
July 02 2016,S117200,Mackenzie,Dog,"Terrier, American Pit Bull",Mix,
July 02 2016,S116997,Bonnie,Dog,Maltese,Mix,98119
July 02 2016,S117077,Cameron,Dog,"Terrier, Pit Bull",Mix,
July 02 2016,349312,Panda,Dog,"Chihuahua, Short Coat",,98121
July 03 2016,S117563,Maggie,Dog,Hound,,98108
July 03 2016,S120636,Shela,Dog,Australian Cattle Dog,,98133
July 03 2016,S120689,Nala,Dog,Chow Chow,,98118
July 03 2016,S117086,Maria,Dog,Terrier,Mix,98122
July 03 2016,S117093,Weasel,Dog,"Dachshund, Standard Smooth Haired",Siberian Husky,98103
July 05 2016,S117503,Fiona,Dog,"Terrier, Rat","Chihuahua, Short Coat",98146
July 05 2016,S117544,Emma,Dog,"Bulldog, English",,98107
July 05 2016,S117550,Evie,Dog,"Poodle, Miniature",,98107
July 05 2016,S117098,Miley,Dog,"Spaniel, Cavalier King Charles",Mix,98109
July 05 2016,585305,Bella,Dog,Beagle,,98103
July 05 2016,S116795,Nikki,Dog,"Retriever, Labrador",Mix,98118
July 06 2016,441980,Heidi,Dog,Doberman Pinscher,,98119
July 06 2016,S117202,Sheelo,Dog,"German Shepherd, King",Mix,98125
July 06 2016,S117203,Hazel,Dog,"Spaniel, Cavalier King Charles",Mix,98103
July 06 2016,S117206,Tashan,Dog,Anatolian Shepherd,Mix,98117
July 06 2016,S117209,ruby,Dog,Pug,,
July 06 2016,S117211,Hazel,Dog,German Shepherd,Mix,
July 06 2016,S117218,locita,Dog,Shepherd,Mix,
July 07 2016,358987,Keahlani,Dog,"Retriever, Nova Scotia Duck Tolling",,98103
July 07 2016,442543,Nakoda,Dog,Border Collie,,98199
July 07 2016,443423,Polly,Dog,Shepherd,Australian Cattle Dog,98126
July 07 2016,445346,Emma,Dog,Pug,,98107
July 07 2016,S117722,Pali,Dog,"Terrier, Staffordshire Bull",,98199
July 07 2016,S117723,Kona,Dog,"Terrier, American Pit Bull",,98199
July 07 2016,S117748,Cora,Dog,Terrier,Shepherd,98103
July 07 2016,S117749,Tilly,Dog,"Chihuahua, Short Coat",,98103
July 07 2016,S117752,Penny,Dog,"Retriever, Labrador",,98115
July 07 2016,S117765,CoCo,Dog,"Chihuahua, Short Coat",,98106
July 07 2016,S117766,Cici,Dog,"Chihuahua, Short Coat",,98106
July 07 2016,S117220,Olivia,Dog,"Poodle, Toy",,98109
July 07 2016,S117221,Zelda,Dog,"Spaniel, English Springer",Mix,98109
July 07 2016,S117634,Lupita,Dog,"Pointer, German Shorthaired",Mix,98126
July 07 2016,S117300,Stella,Dog,"Chihuahua, Short Coat",Mix,98115
July 07 2016,584996,Lucy,Dog,Spaniel,Border Collie,
July 08 2016,435587,Pinky,Dog,Shih Tzu,,98105
July 08 2016,441811,Enzo,Dog,Xoloitzcuintli,,98105
July 08 2016,443059,Pema,Dog,"Retriever, Labrador",,98112
July 08 2016,445180,,Dog,"Terrier, Boston",,98108
July 08 2016,S117719,Masetto,Dog,Portuguese Water Dog,,98105
July 08 2016,S117728,Lexi,Dog,"Chihuahua, Short Coat",,
July 08 2016,S117642,Fawna,Dog,"Chihuahua, Short Coat",Mix,
July 08 2016,348539,Lily,Dog,"Dachshund, Standard Smooth Haired",,98144
July 09 2016,444009,Jackie,Dog,Border Collie,"Welsh Corgi, Cardigan",98102
July 09 2016,731506,Millie,Dog,Australian Cattle Dog,"Terrier, Manchester",98125
July 09 2016,S117814,Dora,Dog,Alaskan Malamute,Mix,98133
July 09 2016,S117874,Coco,Dog,"Retriever, Labrador","Poodle, Standard",98119
July 09 2016,S117906,Piglet,Dog,"Retriever, Labrador",Mix,98125
July 09 2016,S101537,Lillian,Dog,"Terrier, Jack Russell",,98108
July 09 2016,S117233,Courage,Dog,"Terrier, Pit Bull",Mix,
July 10 2016,438658,Lili,Dog,Shih Tzu,,98104
July 10 2016,440765,Riley,Dog,"Retriever, Labrador",,98144
July 10 2016,S117831,Jacki,Dog,"Retriever, Labrador",,98103
July 10 2016,S117897,Serena,Dog,Mix,,98103
July 10 2016,S117898,Baguette,Dog,Bichon Frise,Shih Tzu,98116
July 10 2016,S117910,Junie,Dog,Shepherd,"Terrier, American Pit Bull",98103
July 10 2016,S112551,Sugar,Dog,"Terrier, Boston",,98119
July 11 2016,86058,Sitka,Dog,American Eskimo,,98136
July 11 2016,440323,Lily,Dog,"Terrier, West Highland White",,98109
July 11 2016,S117877,Luna Santos-Mored,Dog,"Retriever, Labrador",Akita,98105
July 11 2016,S117902,Grizela,Dog,"Terrier, Scottish",,98118
July 11 2016,S117903,Lola,Dog,"Bulldog, French",,98118
July 11 2016,S117937,Bellina,Dog,Boxer,,98103
July 11 2016,S117945,Jessie P Wagglebottoms,Dog,Catahoula Leopard dog,,98115
July 11 2016,S117956,Bailey,Dog,Border Collie,German Shepherd,98118
July 11 2016,S117965,Penny,Dog,Mix,"Retriever, Labrador",98108
July 11 2016,S116549,Margo,Dog,Pug,"Bulldog, French",98112
July 11 2016,S116551,Della Street,Dog,Shepherd,Terrier,98117
July 11 2016,S117731,Ella,Dog,"Terrier, Cairn",,98199
July 12 2016,359361,Stella,Dog,Miniature Pinscher,Mix,98104
July 12 2016,432137,Dinky,Dog,Maltese,Mix,98117
July 12 2016,440097,Galena,Dog,"Retriever, Labrador",Mix,98122
July 12 2016,S117846,Rita Tran-Larson,Dog,"Dachshund, Miniature Long Haired",,
July 12 2016,S117929,Skye,Dog,"Coonhound, Black and Tan",,98103
July 12 2016,S117964,Abbey,Dog,Beagle,,
July 12 2016,S117635,Maggie,Dog,"Retriever, Labrador",Mix,98122
July 12 2016,27787,Macey,Dog,"Terrier, Airedale",,98199
July 12 2016,S117422,Lulu,Dog,"Chihuahua, Long Coat",Mix,98119
July 13 2016,443068,Lucy,Dog,Hound,Terrier,98102
July 13 2016,443301,Taffy,Dog,Shih Tzu,Maltese,98133
July 13 2016,S117806,Winnie,Dog,"Retriever, Labrador",,
July 13 2016,S117835,Dresden,Dog,"Pointer, German Shorthaired",,98133
July 13 2016,S311680,Rhahdi,Dog,Shepherd,Mix,98115
July 13 2016,433280,Lolli Girl,Dog,Pomeranian,,
July 13 2016,S116554,Kensie,Dog,Maltese,"Terrier, Yorkshire",98103
July 13 2016,S116555,Rosie,Dog,Australian Cattle Dog,Mix,98117
July 13 2016,436227,Flo,Dog,Miniature Pinscher,"Chihuahua, Short Coat",98103
July 14 2016,281523,Sadie,Dog,"Retriever, Labrador","Poodle, Standard",98125
July 14 2016,436299,Maggie,Dog,"Terrier, Fox, Wire",,98102
July 14 2016,439675,Rita,Dog,"Chihuahua, Short Coat",,98106
July 14 2016,443237,Puppy,Dog,"Poodle, Standard",,98102
July 14 2016,S111381,Margot,Dog,Australian Cattle Dog,,98126
July 14 2016,S117843,Bones,Dog,"Terrier, Boston",,98112
July 14 2016,S117909,Olive,Dog,American Bandogge Mastiff,,
July 14 2016,S117927,Lulu,Dog,"Chihuahua, Short Coat","Dachshund, Standard Smooth Haired",98117
July 14 2016,S118203,Kiki,Dog,"Bulldog, French",,98109
July 14 2016,S117432,Lea,Dog,"Terrier, Pit Bull",Mix,98116
July 14 2016,S101097,Snowball,Dog,"Welsh Corgi, Cardigan",Mix,98126
July 14 2016,S117436,Mei Mei,Dog,Pomeranian,Mix,98498
July 14 2016,S116561,Lexi,Dog,"Terrier, American Pit Bull",Mix,
July 15 2016,S118208,Coco,Dog,"Chihuahua, Short Coat",,98125
July 15 2016,S118252,Lacey,Dog,Terrier,,98112
July 15 2016,S118257,Violet,Dog,"Terrier, Pit Bull",,98108
July 15 2016,S118284,Lola,Dog,"Terrier, Yorkshire",,98118
July 15 2016,S118305,Roxy,Dog,German Shepherd,,98112
July 15 2016,S118306,Ellie,Dog,"Dachshund, Miniature Long Haired",,98102
July 15 2016,S118307,Genevieve,Dog,"Dachshund, Miniature Smooth Haired",,98102
July 15 2016,S118310,Sadie,Dog,"Retriever, Labrador",,98116
July 15 2016,S116566,Tokka,Dog,Alaskan Klee Kai,Shiba Inu,98117
July 15 2016,S117830,Peaches,Dog,"Chihuahua, Short Coat","Chihuahua, Short Coat",98105
July 16 2016,443482,Izzy,Dog,"Chihuahua, Short Coat",Pomeranian,98116
July 16 2016,S102221,Olive,Dog,"Retriever, Flat-Coated",,98116
July 16 2016,S118201,Ellie,Dog,Mix,,98146
July 16 2016,S118220,Scout,Dog,"Retriever, Golden",,98112
July 16 2016,S118230,Lucy,Dog,Alaskan Husky,Australian Cattle Dog,98125
July 16 2016,S118261,Gigi,Dog,Siberian Husky,"Retriever, Labrador",98199
July 16 2016,S118332,Cocoa (formerly Kaita),Dog,Spaniel,Retriever,98103
July 16 2016,S123993,Osa,Dog,Great Pyrenees,"Setter, Irish",98126
July 16 2016,357439,Tiny,Dog,Great Dane,,98125
July 16 2016,436167,Sophie,Dog,Lhasa Apso,,98111
July 16 2016,S117449,Nike,Dog,"Terrier, Soft Coated Wheaten",,98105
July 16 2016,S117787,Zoe,Dog,"Terrier, American Pit Bull",Mix,
July 17 2016,441986,Daisy,Dog,Shepherd,Rottweiler,98117
July 17 2016,445128,Mango,Dog,"Spaniel, American Cocker","Poodle, Miniature",98117
July 18 2016,S105061,Penny,Dog,Siberian Husky,,98126
July 18 2016,S118212,Penny,Dog,Boxer,,98125
July 18 2016,S118243,Tulah,Dog,"Terrier, Soft Coated Wheaten",,
July 18 2016,S118251,Shelly,Dog,"Chihuahua, Short Coat","Terrier, Jack Russell",98144
July 18 2016,S118267,Savannah,Dog,"Terrier, West Highland White",,98136
July 18 2016,S116570,Maya,Dog,Australian Shepherd,,98102
July 18 2016,S117633,Chloe,Dog,Boxer,Mix,98122
July 18 2016,S101602,Lucy,Dog,"Retriever, Labrador",Mix,
July 19 2016,435378,Massey,Dog,"Retriever, Labrador","Poodle, Miniature",98136
July 19 2016,441775,Bella,Dog,Beagle,"Terrier, Jack Russell",
July 19 2016,442337,Buffy,Dog,Australian Shepherd,Catahoula Leopard dog,98122
July 19 2016,S118256,Cleopatra Elise,Dog,"Vizsla, Smooth Haired",,98112
July 19 2016,S118279,Mochi,Dog,Boxer,,98126
July 19 2016,S118343,Allie,Dog,"Retriever, Labrador",Border Collie,98103
July 19 2016,S118348,Lucy,Dog,Mix,,98126
July 19 2016,S118580,Lucy,Dog,Havanese,,98112
July 19 2016,S117793,Nala,Dog,Alaskan Malamute,Mix,98122
July 19 2016,216539,Stevie,Dog,"Retriever, Labrador",Great Dane,
July 19 2016,S112714,Baby Girl,Dog,"Retriever, Labrador",Mix,98166
July 19 2016,S112713,Mandy,Dog,Shepherd,Mix,
July 20 2016,356224,Teka,Dog,American Eskimo,,98144
July 20 2016,441635,Ruffles,Dog,Chinese Shar-Pei,,98199
July 20 2016,S118520,Gracie,Dog,Pug,,98122
July 20 2016,S118559,Dahlia,Dog,"Retriever, Golden",,98122
July 20 2016,S118643,Riggz,Dog,"Spaniel, Cavalier King Charles",Pekingese,98109
July 20 2016,S118740,Chevelle,Dog,"Terrier, Pit Bull","Retriever, Labrador",98178
July 20 2016,S118746,Mully,Dog,"Spaniel, Irish Water",,98117
July 20 2016,S117632,Booster,Dog,"Terrier, Jack Russell",Mix,98122
July 20 2016,438365,Lucy,Dog,"Chihuahua, Short Coat","Dachshund, Standard Smooth Haired",98125
July 20 2016,S117457,Coco,Dog,Retriever,Mix,
July 21 2016,359135,Luna,Dog,"Terrier, American Staffordshire",,98136
July 21 2016,443273,Luna,Dog,Whippet,Terrier,
July 21 2016,S118504,Kuma,Dog,Siberian Husky,,98136
July 21 2016,S118548,Valentine,Dog,"Retriever, Golden","Spaniel, American Cocker",
July 21 2016,S118591,Luna,Dog,Australian Shepherd,,98112
July 21 2016,S118622,Sweet Pea,Dog,"Chihuahua, Short Coat",,
July 21 2016,S118628,Roxy,Dog,Rottweiler,,98118
July 21 2016,S118699,Josephine,Dog,"Poodle, Standard","Retriever, Labrador",98118
July 21 2016,S118734,Petunia,Dog,"Terrier, American Staffordshire",,98168
July 21 2016,S118761,Tele,Dog,"Retriever, Labrador",,98117
July 21 2016,S117643,Angie,Dog,Australian Shepherd,Mix,98118
July 21 2016,S116576,Presley,Dog,"Terrier, Pit Bull",Boxer,98105
July 21 2016,S117266,Olive,Dog,"Retriever, Labrador",Mix,98133
July 21 2016,S117291,Gracie,Dog,Rottweiler,Mix,
July 21 2016,S118793,Bailey,Dog,"Vizsla, Smooth Haired",Mix,98115
July 21 2016,S118570,Harper,Dog,Havanese,,98122
July 22 2016,441941,Trudy,Dog,Shiba Inu,,98118
July 22 2016,959875,Molly,Dog,Border Collie,,98103
July 22 2016,959878,Maggie,Dog,Border Collie,,98103
July 22 2016,S118649,Addie Bird,Dog,Mix,,98199
July 22 2016,S117465,Madison,Dog,Pug,Beagle,98104
July 22 2016,S117464,Bella,Dog,Miniature Pinscher,Mix,98104
July 22 2016,S116577,Mila,Dog,"Terrier, Yorkshire",Pomeranian,98107
July 22 2016,S101158,Charley,Dog,Bernese Mountain Dog,Mix,98112
July 22 2016,S117469,Jessica,Dog,Bichon Frise,,98136
July 23 2016,355929,Edwina,Dog,"Pointer, German Shorthaired",,98103
July 23 2016,359522,Lily,Dog,"Terrier, Boston","Bulldog, French",98107
July 23 2016,S118645,Cassie,Dog,Australian Kelpie,Border Collie,98126
July 23 2016,S118663,Sarah,Dog,"Retriever, Labrador",,98103
July 23 2016,S118717,Mille,Dog,Maltese,,98109
July 23 2016,S121446,Winnie,Dog,"Retriever, Golden",,98117
July 23 2016,S117348,Chloe,Dog,Basenji,Mix,
July 23 2016,S117477,Lilly,Dog,"Retriever, Labrador","Poodle, Standard",98115
July 24 2016,S118648,Alice,Dog,"Vizsla, Smooth Haired",,98144
July 25 2016,438182,Mandy,Dog,"Dachshund, Standard Smooth Haired","Welsh Corgi, Cardigan",98109
July 25 2016,S118653,Lolly,Dog,Pomeranian,,98103
July 25 2016,S118671,Saba,Dog,"Retriever, Labrador",Australian Cattle Dog,98103
July 25 2016,S118743,Ally,Dog,"Poodle, Toy",Bernese Mountain Dog,98115
July 25 2016,S118782,Kiche,Dog,Mix,Mix,98115
July 25 2016,S117645,Sasha,Dog,Xoloitzcuintli,Mix,
July 25 2016,S118727,Claire,Dog,"Retriever, Labrador",Siberian Husky,98126
July 26 2016,214457,Lucy,Dog,"Spaniel, Cavalier King Charles",,98116
July 26 2016,438150,Abby,Dog,"Terrier, Boston",,98116
July 26 2016,439725,Sophie,Dog,Shih Tzu,,98116
July 26 2016,S118617,Juno,Dog,"Retriever, Golden",,98116
July 26 2016,441626,Elsa,Dog,"Retriever, Golden",,98199
July 26 2016,441627,Uma,Dog,Chow Chow,Mix,98199
July 27 2016,441712,Quinn,Dog,Siberian Husky,Australian Shepherd,98144
July 27 2016,S102187,Birdie,Dog,Boxer,"Terrier, Jack Russell",98117
July 27 2016,S118562,Ghost,Dog,Basenji,,98122
July 27 2016,S118678,Marley,Dog,"Retriever, Golden","Poodle, Standard",98136
July 27 2016,S118763,Simya,Dog,"Retriever, Labrador",Chinese Shar-Pei,
July 27 2016,S117366,Kaylie,Dog,Terrier,Mix,
July 27 2016,S118351,Lola,Dog,"Chihuahua, Short Coat",Mix,98117
July 28 2016,359421,Dahlia,Dog,"Chihuahua, Short Coat",,98122
July 28 2016,435307,Maggie,Dog,Bichon Frise,Havanese,98116
July 28 2016,S118606,Pocky,Dog,Australian Cattle Dog,,98107
