finish,start,car_number,driver,car_name/entrant,make_model,status,laps,LED,winnings,year
10,4,61,Jimmy Jackson,Howard Keck,Deidt/Offy,Left spindle,193,0,"$4,120",1948
11,12,4,Charlie Van Acker,City of South Bend,Stevens/Offy,Running,192,0,"$3,120",1948
12,20,19,Billy DeVore,Pat Clancy (6 Wheels),Kurtis/Offy,Running,190,0,"$2,930",1948
13,8,98,Johnny Mantz,Agajanian,KK2000/Offy,Running,185,0,"$2,230",1948
14,22,6,Tony Bettenhausen,Belanger Motors,Stevens/Offy,Clutch,167,0,"$2,560",1948
15,18,64,Hal Robson,Palmer Construction,Adams/Offy,Valve,164,0,"$1,990",1948
16,7,36,Bill Cantrell,Fageol Twin Coach,Stevens/Fageol,Steering,161,0,"$1,870",1948
17,10,55,Joie Chitwood,Nyquist,Shaw/Offy,Fuel leak,138,0,"$2,375",1948
18,24,53,Bill Sheffler,Jack Maurer,Bromme/Offy,Spark plugs,132,0,"$1,830",1948
19,1,5,Rex Mays,Bowes Seal Fast,Kurtis/Winfield,Fuel leak,129,36,"$5,775",1948
20,19,31,Chet Miller,Don Lee Mercedes,Mercedes/Mercedes,Oil trouble,108,0,"$2,120",1948
21,13,52,Jack McGrath,Sheffler Offy,Bromme/Offy,Stalled,70,0,"$1,865",1948
22,29,16,Duane Carter,Belanger Motors,Wetteroth/Offy,Accident,59,0,"$1,960",1948
23,32,26,Fred Agabashian,Ross Page,Kurtis/Duray,Oil line,58,0,"$1,580",1948
24,9,34,Les Anderson,Kennedy Tank,Kurtis/Offy,Gears,58,0,"$1,550",1948
25,33,17,Mel Hansen,Schafer Gear Works,Adams/Sparks,Disqualified,42,0,"$1,420",1948
26,15,76,Sam Hanks,Flavell,Adams/Sparks,Clutch,34,0,"$1,490",1948
27,30,51,Spider Webb,Fowle Brothers,Bromme/Offy,Oil line,27,0,"$1,685",1948
28,17,9,George Connor,Bennett Brothers,Stevens/Miller,Drive shaft,24,0,"$1,330",1948
29,6,74,Doc Williams,Clarke Motors,Cooper/Offy,Ignition,19,0,"$1,300",1948
30,31,86,Mike Salay,Terman Marine Supply,Wetteroth/Offy,Stalled,13,0,"$1,470",1948
31,16,8,Emil Andres,Tuffy's Offy,KK2000/Offy,Steering,11,0,"$1,340",1948
32,25,25,Paul Russo,Federal Engineering,Maserati/Maserati,Oil leak,7,0,"$1,310",1948
33,26,65,Harry McQuinn,Frank Lynch Motors,Maserati/Maserati,Supercharger,1,0,"$1,180",1948
1,4,7,Bill Holland,Blue Crown Spark Plug,Deidt/Offy,121.327,200,146,"$51,575",1949
2,12,12,Johnnie Parsons,Kurtis-Kraft,Kurtis/Offy,119.785,200,0,"$18,250",1949
3,6,22,George Connor,Blue Crown Spark Plug,Lesovsky/Offy,119.595,200,0,"$11,675",1949
4,13,2,Myron Fohr,Marchese,Marchese/Offy,118.791,200,0,"$8,575",1949
5,16,77,Joie Chitwood,Wolfe,KK2000/Offy,118.757,200,0,"$6,950",1949
6,7,61,Jimmy Jackson,Howard Keck,Deidt/Offy,117.87,200,0,"$5,625",1949
7,9,98,Johnny Mantz,Agajanian,KK2000/Offy,117.142,200,0,"$4,690",1949
8,19,19,Paul Russo,Tuffy's Offy,Silnes/Offy,111.862,200,0,"$4,940",1949
9,32,9,Emil Andres,Tuffy's Offy,Silnes/Offy,Running,197,0,"$4,420",1949
10,24,71,Norm Houser,Troy Oil Co.,Langley/Offy,Running,181,0,"$4,075",1949
11,21,68,Jim Rathmann,Pioneer Auto Repair,Wetteroth/Offy,Running,175,0,"$3,195",1949
12,18,64,Troy Ruttman,Carter,Wetteroth/Offy,Running,151,0,"$3,150",1949
13,10,3,Mauri Rose,Blue Crown Spark Plug,Deidt/Offy,Magneto strap,192,0,"$2,605",1949
14,5,17,Duane Carter,Belanger Motors,Stevens/Offy,Steering,182,0,"$2,610",1949
15,15,29,Duke Dinsmore,Norm Olson,Olson/Offy,Radius rod,174,0,"$2,565",1949
16,14,8,Mack Hellings,Don Lee,KK2000/Offy,Valves,172,0,"$2,570",1949
17,22,4,Bill Sheffler,Sheffler,Bromme/Offy,Rod,160,0,"$2,175",1949
18,28,32,Johnny McDowell,Iddings,Meyer/Offy,Magneto,142,0,"$2,005",1949
19,11,14,Hal Cole,Gancor,KK2000/Offy,Rod bearing,117,0,"$1,975",1949
20,25,38,George Fonder,Ray Brady,Adams/Sparks,Valve,116,0,"$1,945",1949
21,30,74,Bill Cantrell,Kennedy Tank,Kurtis/Offy,Drive shaft,95,0,"$2,315",1949
22,17,57,Jackie Holmes,Pat Clancy (6 Wheels),Kurtis/Offy,Drive shaft,65,0,"$2,410",1949
23,20,6,Lee Wallard,IRC Maserati,Maserati/Maserati,Gears,55,19,"$4,405",1949
24,29,69,Bayliss Levrett,Wynn's Oil,KK2000/Offy,Drain plug,52,0,"$2,375",1949
25,2,5,Rex Mays,Novi Mobil,Kurtis/Novi,Engine,48,12,"$3,470",1949
26,3,33,Jack McGrath,City of Tacoma,KK2000/Offy,Oil pump,39,0,"$2,115",1949
27,31,15,Fred Agabashian,IRC Maserati,Maserati/Maserati,Overheating,38,0,"$2,035",1949
28,33,52,Manuel Ayulo,Sheffler,Bromme/Offy,Rod,24,0,"$1,805",1949
29,1,54,Duke Nalon,Novi Mobil,Kurtis/Novi,Accident,23,23,"$5,650",1949
30,23,18,Sam Hanks,Love Machine & Tool,KK2000/Offy,Oil leak,20,0,"$1,645",1949
31,27,10,Charlie Van Acker,Redmer,Stevens/Offy,Accident,10,0,"$1,615",1949
32,8,26,George Lynch,Automobile Shippers,Rassey/Offy,Accident,1,0,"$1,585",1949
33,26,37,Spider Webb,Grancor,Bromme/Offy,DNS-Transmission,0,0,"$1,555",1949
1,5,1,Johnnie Parsons,Wynn's Friction Proofing,Kurtis/Offy,124.022,138,115,"$57,459",1950
2,10,3,Bill Holland,Blue Crown Spark Plug,Deidt/Offy,Running,137,8,"$21,899",1950
3,3,31,Mauri Rose,Howard Keck,Deidt/Offy,Running,137,15,"$15,269",1950
4,12,54,Cecil Green,John Zink,KK3000/Offy,Running,137,0,"$10,964",1950
5,9,17,Joie Chitwood,Wolfe,KK2000/Offy,Running,136,0,"$8,789",1950
6,23,8,Lee Wallard,Blue Crown Spark Plug,Moore/Offy,Running,136,0,"$6,864",1950
7,1,98,Walt Faulkner,Grant Piston Ring,KK2000/Offy,Running,135,0,"$7,664",1950
8,4,5,George Connor,Blue Crown Spark Plug,Lesovsky/Offy,Running,135,0,"$5,039",1950
9,19,7,Paul Russo,Russo-Nichels,Nichels/Offy,Running,135,0,"$4,989",1950
10,11,59,Pat Flaherty,Granatelli-Sabourin,KK3000/Offy,Running,135,0,"$4,639",1950
11,16,2,Myron Fohr,Bardahl,Marchese/Offy,Running,133,0,"$3,734",1950
12,13,18,Duane Carter,Belanger Motors,Stevens/Offy,Running,133,0,"$3,464",1950
13,26,15,Mack Hellings,Tuffy's Offy,Silnes/Offy,Running,132,0,"$2,979",1950
14,6,49,Jack McGrath,Hinkle,KK3000/Offy,Accident,131,0,"$2,799",1950
15,24,55,Troy Ruttman,Bowes Seal Fast,Lesovsky/Offy,Running,130,0,"$2,979",1950
16,31,75,Gene Hartley,Troy Oil,Langley/Offy,Running,128,0,"$2,509",1950
17,27,22,Jimmy Davies,Pat Clancy,Ewing/Offy,Running,128,0,"$2,339",1950
18,33,62,Johnny McDowell,Pete Wales,KK2000/Offy,Running,128,0,"$2,769",1950
19,20,4,Walt Brown,Tuffy's Offy,Silnes/Offy,Running,127,0,"$2,339",1950
20,14,21,Spider Webb,Fadely-Anderson,Maserati/Offy,Running,126,0,"$2,509",1950
21,15,81,Jerry Hoyt,Morris,KK2000/Offy,Running,125,0,"$2,379",1950
22,29,27,Walt Ader,Sampson,Rae/Offy,Running,123,0,"$2,149",1950
23,30,77,Jackie Holmes,Norm Olson,Olson/Offy,Accident,123,0,"$2,119",1950
24,28,76,Jim Rathmann,Pioneer Auto Repair,Wetteroth/Offy,Running,122,0,"$2,089",1950
25,21,12,Henry Banks,I.R.C.,Maserati/Offy,Oil line,112,0,"$2,059",1950
26,22,67,Bill Schindler,Automobile Shippers,Rassey/Offy,Universal joint,111,0,"$2,604",1950
27,17,24,Bayliss Levrett,Palmer,Adams/Offy,Oil pressure,108,0,"$2,424",1950
28,2,28,Fred Agabashian,Wynn's Friction Proofing,KK3000/Offy,Oil line,64,0,"$2,444",1950
29,32,61,Jimmy Jackson,Cummins Diesel,Kurtis/Cummins,Supercharger,52,0,"$1,939",1950
30,25,23,Sam Hanks,Merz Engineering,KK2000/Offy,Oil pressure,42,0,"$2,134",1950
31,8,14,Tony Bettenhausen,Blue Crown Spark Plug,Deidt/Offy,Wheel,30,0,"$1,879",1950
32,18,45,Dick Rathmann,City of Glendale,Watson/Offy,Stalled,25,0,"$2,149",1950
33,7,69,Duke Dinsmore,Brown Motor Co.,KK2000/Offy,Oil leak,10,0,"$1,844",1950
1,2,99,Lee Wallard,Belanger Motors,Kurtis/Offy,126.244,200,159,"$63,612",1951
2,7,83,Mike Nazaruk,Jim Robbins,Kurtis/Offy,125.302,200,0,"$21,362",1951
3,3,9,Jack McGrath,Hinkle,KK3000/Offy,124.745,200,11,"$14,962",1951
4,31,57,Andy Linden,Leitenberger,Silnes-Sherman/Offy,123.812,200,0,"$10,012",1951
5,29,52,Bobby Ball,Blakely Oil,Schroeder/Offy,123.709,200,0,"$8,612",1951
6,17,1,Henry Banks,Blue Crown Spark Plug,Moore/Offy,123.304,200,0,"$6,962",1951
7,24,68,Carl Forberg,Automobile Shippers,KK3000/Offy,Running,193,0,"$5,862",1951
8,4,27,Duane Carter,Mobilgas,Deidt/Offy,Running,180,0,"$5,162",1951
9,9,5,Tony Bettenhausen,Mobiloil,Deidt/Offy,Spun,178,0,"$4,662",1951
10,1,18,Duke Nalon,Novi Purelube,Kurtis/Novi,Stalled,151,0,"$5,062",1951
11,22,69,Gene Force,Brown Motor Co.,KK2000/Offy,Vibration,142,0,"$3,182",1951
12,12,25,Sam Hanks,Schmidt,KK3000/Offy,Rod,135,0,"$3,412",1951
13,16,10,Bill Schindler,Chapman,KK2000/Offy,Rod,129,0,"$3,142",1951
14,5,16,Mauri Rose,Pennzoil,Deidt/Offy,Accident,126,0,"$3,022",1951
15,14,2,Walt Faulkner,Agajanian Grant Piston Ring,Kuzma/Offy,Crankshaft,123,0,"$4,552",1951
16,27,76,Jimmy Davies,Parks,Silnes-Pawl/Offy,Drive gears,110,25,"$5,482",1951
17,11,59,Fred Agabashian,Granatelli-Bardahl,KK3000/Offy,Clutch,109,0,"$2,862",1951
18,15,73,Carl Scarborough,McNamara,KK2000/Offy,Axle,100,0,"$2,642",1951
19,33,71,Bill Mackey,Karl Hall,Stevens/Offy,Clutch shaft,97,0,"$2,212",1951
20,19,8,Chuck Stevenson,Bardahl,Marchese/Offy,Caught fire,93,0,"$2,182",1951
21,8,3,Johnnie Parsons,Wynn's Friction Proofing,KK3000/Offy,Magneto,87,0,"$2,252",1951
22,10,4,Cecil Green,John Zink,KK3000/Offy,Piston,80,5,"$2,622",1951
23,6,98,Troy Ruttman,Agajanian Featherweight,KK2000/Offy,Crankshaft,78,0,"$2,092",1951
24,32,6,Duke Dinsmore,Brown Motors Co.,Schroeder/Offy,Overheating,73,0,"$2,162",1951
25,28,32,Chet Miller,Novi Purelube,Kurtis/Novi,Ignition,56,0,"$2,532",1951
26,13,44,Walt Brown,Federal Engineering,KK3000/Offy,Magneto,55,0,"$2,302",1951
27,25,48,Rodger Ward,Deck Manufacturing Co.,Bromme/Offy,Oil line,34,0,"$2,472",1951
28,18,23,Cliff Griffith,Morris,KK2000/Offy,Rear axle,30,0,"$2,042",1951
29,20,81,Bill Vukovich,Central Excavating,Trevis/Offy,Oil tank,29,0,"$1,912",1951
30,21,22,George Connor,Blue Crown Spark Plug,Lesovsky/Offy,Drive shaft,29,0,"$1,882",1951
31,23,19,Mack Hellings,Tuffanelli-Derrico,Deidt/Offy,Piston,18,0,"$1,852",1951
32,26,12,Johnny McDowell,W & J,Maserati/Offy,Fuel tank,15,0,"$2,222",1951
33,30,26,Joe James,Bob Estes Lincoln-Mercury,Watson/Offy,Drive shaft,8,0,"$2,092",1951
1,7,98,Troy Ruttman,Agajanian,Kuzma/Offy,128.922,200,44,"$61,743",1952
2,10,59,Jim Rathmann,Grancor-Wynn's Oil,KK3000/Offy,126.723,200,0,"$24,368",1952
3,5,18,Sam Hanks,Bardahl,KK3000/Offy,125.58,200,0,"$14,768",1952
4,6,1,Duane Carter,Belanger Motors,Lesovsky/Offy,125.259,200,0,"$11,818",1952
5,20,33,Art Cross,Bowes Seal Fast,KK4000/Offy,124.292,200,0,"$9,718",1952
6,21,77,Jimmy Bryan,Schmidt,KK3000/Offy,123.914,200,0,"$7,468",1952
7,23,37,Jimmy Reece,John Zink,KK4000/Offy,123.312,200,0,"$6,368",1952
8,14,54,George Connor,Federal Engineering,KK3000/Offy,122.595,200,0,"$6,118",1952
9,9,22,Cliff Griffith,Tom Sarafoff,KK2000/Offy,122.402,200,0,"$5,768",1952
10,31,5,Johnnie Parsons,Jim Robbins,Kurtis/Offy,121.789,200,0,"$5,518",1952
11,3,4,Jack McGrath,Hinkle,KK3000/Offy,121.428,200,6,"$4,263",1952
12,26,29,Jim Rigsby,Bob Estes,Watson/Offy,120.587,200,0,"$3,193",1952
13,16,14,Joe James,Bardahl,KK4000/Offy,120.108,200,0,"$2,923",1952
14,15,7,Bill Schindler,Chapman,Stevens/Offy,119.28,200,0,"$2,903",1952
15,13,65,George Fonder,Leitenberger,Silnes-Sherman/Offy,Running,197,0,"$2,683",1952
16,24,81,Eddie Johnson,Central Excavating,Trevis/Offy,Running,193,0,"$2,663",1952
17,8,26,Bill Vukovich,Fuel Injection,KK500A/Offy,Steering,191,150,"$18,693",1952
18,11,16,Chuck Stevenson,Springfield Welding/Clay Smith,KK4000/Offy,Running,187,0,"$2,623",1952
19,12,2,Henry Banks,Blue Crown Spark Plug,Lesovsky/Offy,Running,184,0,"$2,693",1952
20,28,8,Manuel Ayulo,Coast Grain Co.,Lesovsky/Offy,Running,184,0,"$2,763",1952
21,33,31,Johnny McDowell,McDowell,Kurtis/Offy,Running,182,0,"$2,333",1952
22,29,48,Spider Webb,Granatelli Racing Enterprises,Bromme/Offy,Oil line,162,0,"$2,603",1952
23,22,34,Rodger Ward,Federal Engineering,KK4000/Offy,Oil leak,130,0,"$2,273",1952
24,30,27,Tony Bettenhausen,Blue Crown Spark Plug,Deidt/Offy,Stalled,93,0,"$2,443",1952
25,4,36,Duke Nalon,Novi Pure Oil,Kurtis/Novi,Supercharger,84,0,"$2,413",1952
26,32,73,Bob Sweikert,McNamara,KK2000/Offy,Differential,77,0,"$2,183",1952
27,1,28,Fred Agabashian,Cummins Diesel,Kurtis/Cummins,Supercharger,71,0,"$2,653",1952
28,18,67,Gene Hartley,Mel-Rae,KK4000/Offy,Wheels,65,0,"$2,123",1952
29,25,93,Bob Scott,Morris,KK2000/Offy,Drive shaft,49,0,"$2,093",1952
30,27,21,Chet Miller,Novi Pure Oil,Kurtis/Novi,Supercharger,41,0,"$3,663",1952
31,19,12,Alberto Ascari,Ferrari,Ferrari/Ferrari,Spun out,40,0,"$1,983",1952
32,17,55,Bobby Ball,Ansted Rotary,Stevens/Offy,Gear case,34,0,"$2,003",1952
33,2,9,Andy Linden,Miracle Power,KK4000/Offy,Sump pump,20,0,"$2,273",1952
1,1,14,Bill Vukovich,Fuel Injection,KK500A/Offy,127.74,200,195,"$89,497",1953
2,12,16,Art Cross,Springfield Welding/Clay Smith,KK4000/Offy,126.827,200,0,"$27,297",1953
3,9,3,Sam Hanks,Bardahl,KK4000/Offy,126.465,200,3,"$16,422",1953
4,2,59,Fred Agabashian,Grancor-Elgin Piston Pin,KK500B/Offy,126.219,200,1,"$12,947",1953
5,3,5,Jack McGrath,Hinkle,KK4000/Offy,124.556,200,0,"$10,622",1953
6,21,48,Jimmy Daywalt,Sumar,KK3000/Offy,124.379,200,0,"$8,197",1953
7,25,2,Jim Rathmann,Travelon Trailer,KK500B/Offy,124.072,200,1,"$6,847",1953
8,20,12,Ernie McCoy,Chapman,Stevens/Offy,123.404,200,0,"$5,947",1953
9,6,98,Tony Bettenhausen,Agajanian,Kuzma/Offy,Accident,196,0,"$5,647",1953
10,32,53,Jimmy Davies,Pat Clancy,KK500B/Offy,Running,193,0,"$5,547",1953
11,26,9,Duke Nalon,Novi Governor,Kurtis/Novi,Spun out,191,0,"$3,317",1953
12,19,73,Carl Scarborough,McNamara,KK2000/Offy,Running,190,0,"$3,147",1953
13,4,88,Manuel Ayulo,Schmidt,Kuzma/Offy,Rod,184,0,"$3,177",1953
14,31,8,Jimmy Bryan,Blakely Oil,Schroeder/Offy,Running,183,0,"$3,057",1953
15,28,49,Bill Holland,Crawford,KK500B/Offy,Cam gear,177,0,"$3,237",1953
16,10,92,Rodger Ward,M.A. Walker Electric,Kurtis/Offy,Stalled,177,0,"$2,917",1953
17,14,23,Walt Faulkner,Automobile Shippers,KK500A/Offy,Running,176,0,"$2,497",1953
18,22,22,Marshall Teague,Hart Fullerton,KK4000/Offy,Oil Leak,169,0,"$2,377",1953
19,18,62,Spider Webb,Lubri-Loy,KK3000/Offy,Oil Leak,166,0,"$2,347",1953
20,29,51,Bob Sweikert,Dean Van Lines,Kuzma/Offy,Radius rod,151,0,"$2,717",1953
21,23,83,Mike Nazaruk,Kalamazoo,Turner/Offy,Stalled,146,0,"$2,287",1953
22,24,77,Pat Flaherty,Schmidt,KK3000/Offy,Accident,115,0,"$2,257",1953
23,7,55,Jerry Hoyt,John Zink,KK4000/Offy,Overheating,107,0,"$2,227",1953
24,27,4,Duane Carter,Miracle Power,Lesovsky/Offy,Ignition,94,0,"$2,197",1953
25,17,7,Paul Russo,Federal Engineering,KK3000/Offy,Magneto,89,0,"$2,167",1953
26,8,21,Johnnie Parsons,Belond Equa-Flow,KK500B/Offy,Crankshaft,86,0,"$2,637",1953
27,15,38,Don Freeland,Bob Estes,Watson/Offy,Accident,76,0,"$2,107",1953
28,13,41,Gene Hartley,Federal Engineering,KK4000/Offy,Accident,53,0,"$2,077",1953
29,16,97,Chuck Stevenson,Agajanian,Kuzma/Offy,Fuel Leak,42,0,"$2,047",1953
30,30,99,Cal Niday,Miracle Power,Kurtis/Offy,Magneto,30,0,"$2,317",1953
31,11,29,Bob Scott,Belond Equa-Flow,Bromme/Offy,Oil Leak,14,0,"$2,187",1953
32,33,56,Johnny Thomson,Dr. Sabourin,Del Roy-Allen/Offy,Ignition,6,0,"$1,907",1953
33,5,32,Andy Linden,Cop-Sil-Loy,Stevens/Offy,Accident,3,0,"$2,127",1953
1,19,14,Bill Vukovich,Fuel Injection,KK500A/Offy,130.84,200,90,"$74,935",1954
2,3,9,Jimmy Bryan,Dean Van Lines,Kuzma/Offy,130.178,200,46,"$35,885",1954
3,1,2,Jack McGrath,Hinkle,KK500C/Offy,130.086,200,47,"$27,410",1954
4,11,34,Troy Ruttman,Automobile Shippers,KK500A/Offy,129.218,200,0,"$12,710",1954
5,14,73,Mike Nazaruk,McNamara,KK500C/Offy,128.923,200,0,"$10,935",1954
6,24,77,Fred Agabashian,Merz Engineering,KK500C/Offy,128.711,200,0,"$8,035",1954
7,6,7,Don Freeland,Bob Estes,Phillips/Offy,128.474,200,0,"$6,885",1954
8,32,5,Paul Russo,Ansted Rotary,KK500A/Offy,128.037,200,0,"$6,260",1954
9,25,28,Larry Crockett,Federal Engineering,KK3000/Offy,126.899,200,0,"$6,985",1954
10,13,24,Cal Niday,Jim Robbins,Stevens/Offy,126.895,200,0,"$6,310",1954
11,27,45,Art Cross,Bardahl,KK4000/Offy,126.232,200,8,"$5,255",1954
12,5,98,Chuck Stevenson,Agajanian,Kuzma/Offy,Running,199,0,"$3,710",1954
13,22,88,Manuel Ayulo,Schmidt,KK500C/Offy,Running,197,0,"$3,465",1954
14,9,17,Bob Sweikert,Lutes,KK4000/Offy,Running,197,0,"$3,345",1954
15,8,16,Duane Carter,Automobile Shippers,KK4000/Offy,Running,196,0,"$3,225",1954
16,20,32,Ernie McCoy,Crawford,KK500B/Offy,Running,194,0,"$3,105",1954
17,7,25,Jimmy Reece,Malloy,Pankratz/Offy,Running,194,0,"$2,985",1954
18,31,27,Ed Elisian,Chapman,Stevens/Offy,Running,193,0,"$2,865",1954
19,33,71,Frank Armi,Martin Brothers,Silnes/Offy,Running,193,0,"$2,835",1954
20,10,1,Sam Hanks,Bardahl,KK4000/Offy,Spun out,191,1,"$2,955",1954
21,12,35,Pat O'Connor,Hopkins,KK500C/Offy,Spun out,181,0,"$3,275",1954
22,16,12,Rodger Ward,Dr. Sabourin,Allen/Offy,Stalled,172,0,"$2,945",1954
23,17,31,Gene Hartley,John Zink,KK4000/Offy,Clutch,168,0,"$2,815",1954
24,4,43,Johnny Thomson,Chapman,Nichels/Offy,Stalled,165,0,"$2,885",1954
25,23,74,Andy Linden,Brown Motor Co.,Schroeder/Offy,Torsion bar,165,0,"$3,655",1954
26,30,99,Jerry Hoyt,Belanger Motors,Kurtis/Offy,Engine,130,0,"$2,625",1954
27,2,19,Jimmy Daywalt,Sumar,KK500C/Offy,Accident,111,8,"$4,445",1954
28,28,38,Jim Rathmann,Bardahl,KK500C/Offy,Accident,110,0,"$2,765",1954
29,21,10,Tony Bettenhausen,Mel Wiggers,KK500C/Offy,Bearing,105,0,"$2,535",1954
30,29,65,Spider Webb,Advance Muffler,Bromme/Offy,Fuel pump,104,0,"$2,605",1954
31,26,33,Len Duncan,Brady,Schroeder/Offy,Brake cylinder,101,0,"$2,875",1954
32,15,15,Johnnie Parsons,Belond Equa-Flow Exhaust,KK500B/Offy,Engine died,79,0,"$2,745",1954
33,18,51,Bill Homeier,Jones & Maley,KK500C/Offy,Pit Accident,74,0,"$2,415",1954
1,14,6,Bob Sweikert,John Zink,KK500D/Offy,128.209,200,86,"$76,139",1955
2,2,10,Tony Bettenhausen,Chapman,KK500C/Offy,126.733,200,0,"$30,089",1955
3,10,15,Jimmy Davies,Bardahl,KK500B/Offy,126.299,200,0,"$16,989",1955
4,33,44,Johnny Thomson,Schmidt,Kuzma/Offy,126.241,200,0,"$12,889",1955
5,7,77,Walt Faulkner,Merz Engineerng,KK500C/Offy,125.377,200,0,"$10,764",1955
6,8,19,Andy Linden,Massaglia,KK4000/Offy,125.022,200,0,"$8,514",1955
7,16,71,Al Herman,Martin Brothers,Silnes/Offy,124.794,200,0,"$7,564",1955
8,19,29,Pat O'Connor,Ansted Rotary,KK500D/Offy,124.644,200,0,"$6,414",1955
9,17,48,Jimmy Daywalt,Sumar,Kurtis/Offy,124.401,200,0,"$6,414",1955
10,12,89,Pat Flaherty,Dunn Engineering,KK500B/Offy,124.086,200,0,"$6,114",1955
11,18,98,Duane Carter,Agajanian,Kuzma/Offy,Running,197,0,"$3,884",1955
12,25,41,Chuck Weyant,Federal Engineering,KK3000/Offy,Running,196,0,"$3,614",1955
13,32,83,Eddie Johnson,McNamara,Trevis/Offy,Running,196,0,"$3,344",1955
14,20,33,Jim Rathmann,Belond Miracle Power,Epperly/Offy,Running,191,0,"$3,324",1955
15,21,12,Don Freeland,Bob Estes,Phillips/Offy,Transmission,178,3,"$4,054",1955
16,9,22,Cal Niday,D-A Lubricant,KK500B/Offy,Accident,170,0,"$3,484",1955
17,24,99,Art Cross,Belanger Motors,KK500D/Offy,Rod,168,24,"$6,664",1955
18,31,81,Shorty Templeman,Central Excavating,Trevis/Offy,Transmission,142,0,"$2,744",1955
19,6,8,Sam Hanks,Jones & Maley,KK500C/Offy,Transmission,134,0,"$2,914",1955
20,28,31,Keith Andrews,McDaniel,Schroeder/Offy,Drop. In pit,120,0,"$2,684",1955
21,27,16,Johnnie Parsons,Trio Brass Foundry,KK500D/Offy,Magneto,119,0,"$2,654",1955
22,13,37,Eddie Russo,Dr. Sabourin,Allen/Offy,Ignition,112,0,"$2,724",1955
23,23,49,Ray Crawford,Crawford,KK500B/Offy,Valve,111,0,"$2,894",1955
24,11,1,Jimmy Bryan,Dean Van Lines,Kuzma/Offy,Fuel pump,90,31,"$7,514",1955
25,5,4,Bill Vukovich,Hopkins,KK500C/Offy,Accident,56,50,"$10,884",1955
26,3,3,Jack McGrath,Hinkle,KK500C/Offy,Magneto,54,6,"$6,354",1955
27,22,42,Al Keller,Sam Traylor,KK2000/Offy,Accident,54,0,"$2,874",1955
28,30,27,Rodger Ward,Aristo Blue,Kuzma/Offy,Accident,53,0,"$2,444",1955
29,26,39,Johnny Boyd,Sumar,KK500C/Offy,Accident,53,0,"$2,414",1955
30,29,68,Ed Elisian,Westwood Gauge & Tool,KK4000/Offy,Stopped,53,0,"$2,734",1955
31,1,23,Jerry Hoyt,Jim Robbins,Stevens/Offy,Oil leak,40,0,"$2,854",1955
32,4,14,Fred Agabashian,Federal Engineering,KK500D/Offy,Spun,39,0,"$2,724",1955
33,15,5,Jimmy Reece,Malloy,Pankratz/Offy,Rod,10,0,"$2,294",1955
1,1,8,Pat Flaherty,John Zink,Watson/Offy,128.49,200,127,"$93,819",1956
2,13,4,Sam Hanks,Jones & Maley,KK500C/Offy,128.303,200,0,"$32,919",1956
3,26,16,Don Freeland,Bob Estes,Phillips/Offy,127.668,200,4,"$20,419",1956
4,6,98,Johnnie Parsons,Agajanian,Kuzma/Offy,126.631,200,16,"$15,769",1956
5,4,73,Dick Rathmann,McNamara,KK500C/Offy,126.133,200,0,"$10,744",1956
6,10,1,Bob Sweikert,D-A Lubricant,Kuzma/Offy,125.489,200,0,"$7,594",1956
7,23,14,Bob Veith,Federal Engineering,KK500E/Offy,125.048,200,0,"$7,494",1956
8,15,19,Rodger Ward,Filter Queen,KK500C/Offy,124.99,200,0,"$6,294",1956
9,21,26,Jimmy Reece,Massaglia Hotels,Lesovsky/Offy,124.938,200,0,"$6,044",1956
10,30,27,Cliff Griffith,Jim Robbins,Stevens/Offy,Running,199,0,"$6,194",1956
11,22,82,Gene Hartley,Central Excavating,KK500C/Offy,Running,196,0,"$3,714",1956
12,7,42,Fred Agabashian,Federal Engineering,KK500C/Offy,Running,196,0,"$3,644",1956
13,25,57,Bob Christie,Helse,KK500D/Offy,Running,196,0,"$3,374",1956
14,28,55,Al Keller,Sam Traylor,KK4000/Offy,Running,195,0,"$3,254",1956
15,32,81,Eddie Johnson,Central Excavating,Kuzma/Offy,Running,195,0,"$3,434",1956
16,29,41,Billy Garrett,Greenman-Casale,Kuzma/Offy,Running,194,0,"$3,014",1956
17,33,64,Duke Dinsmore,Shannon's,KK500A/Offy,Running,191,0,"$3,094",1956
18,3,7,Pat O'Connor,Ansted Rotary,KK500D/Offy,Running,187,39,"$8,924",1956
19,19,2,Jimmy Bryan,Dean Van Lines,Kuzma/Offy,Running,185,0,"$3,144",1956
20,2,24,Jim Rathmann,Hopkins,KK500C/Offy,Rings,175,3,"$3,564",1956
21,31,34,Johnnie Tolan,Trio Brass Foundry,KK500D/Offy,Mechanical,173,0,"$3,084",1956
22,5,99,Tony Bettenhausen,Belanger Motors,KK500D/Offy,Accident,160,0,"$2,754",1956
23,14,10,Ed Elisian,Hoyt Machine,KK500C/Offy,Brakes,160,0,"$2,624",1956
24,16,48,Jimmy Daywalt,Sumar,KK500C/Offy,Accident,134,0,"$2,594",1956
25,24,54,Jack Turner,Travelon Trailer,KK500B/Offy,Mechanical,131,0,"$2,564",1956
26,20,89,Keith Andrews,Dunn Engineering,KK500B/Offy,Transmission,94,0,"$2,804",1956
27,9,5,Andy Linden,Chapman,KK500C/Offy,Oil leak,90,0,"$2,534",1956
28,27,12,Al Herman,Bardahl,KK500B/Offy,Accident,74,0,"$2,474",1956
